,spotify_track_uri,master_metadata_track_name,ms_played
158,spotify:track:1G52tfsDtpzAsdnEQbopvY,Blind Love,798504
159,spotify:track:2hkFk3FBFqY1v33RgykKXy,"Ghost Town - Live from Michigan Theatre, Detroit, MI",790230
160,spotify:track:5QukmWtZgUbqLmjDmqLbRa,Space Oddity (Cover),789838
161,spotify:track:0M8y8NSZvFrWGzTmDsDhwu,Fairytales & Firesides,786843
162,spotify:track:7MsbapJYfzBffE9G9BWspV,London in the Spring - Single Version,783308
163,spotify:track:7M97bveNtmOH81lo1Ad0VN,Table for One,778450
164,spotify:track:6dvNYXsU87CfTnWwLwdij0,Whispers,767297
165,spotify:track:69aqLRiDcn7IWledgqE37E,House on a Hill,744952
166,spotify:track:6q3ASEz1mMuUXkO9wu2WOR,Keep On Walking,744000
167,spotify:track:37BMDc13HWlI7rozG30oqn,Staring At the Stars,739458
168,spotify:track:0UWHBhWCIMweUSlvMBgp4Y,Hell Or High Water,721409
169,spotify:track:5dleCRMDmKQICJXFAifCnV,Keep On Walking - Acoustic,704358
170,spotify:track:5DJam3eTJUAdW86n4FfCWq,Feather on the Clyde,702853
171,spotify:track:5LwUvofWGlLSiywp2m2mQM,"Let's Go - Live from Trough Rd, State Bridge, CO",678800
172,spotify:track:2jQnIXwisXdwUogS7zliD3,Feather on the Clyde (Acoustic Version),676719
173,spotify:track:5lMgXKD3HIXnPIXssW2Doo,The Way That I Love You - Acoustic,672000
174,spotify:track:32KSozvjbMoFBOpRaYS2VB,Staring At the Stars - Acoustic,670826
175,spotify:track:2zkgbt6A9ZI6pq7dAL0EQ5,Walls,664990
176,spotify:track:1FWGmHK56JelffCa2Rjgsy,Snowflakes,658292
177,spotify:track:3lkBLL8w8vVk97BwGjHEKr,Remember to Forget - Acoustic,649839
178,spotify:track:4fp615OQ4jgd3Xf55Uf9Cs,Somebody's Love,647746
179,spotify:track:120r2TOz8xq0SlSnyxyzQY,Sword from the Stone - Acoustic,641600
180,spotify:track:3sgebd31wwbZY8Uyda3yOC,Holes,639499
181,spotify:track:16ezutuyRsAwKKSoozqZ1K,Thunder and Lightning,628235
182,spotify:track:1D1YfTelX1MR4pxvolbDxk,Community Centre,627065
183,spotify:track:00WYGL1QPgh9yW175baBUE,What You're Waiting For - Acoustic,624906
184,spotify:track:4pL2Gtu3UP29OtLeHYdKed,"Year on Year, Day by Day (Patchwork Version)",615996
185,spotify:track:17oCG1FvyfE2oB8skcSgMC,Feather on the Clyde,604229
186,spotify:track:33zsoBidPFooiP6VF5Oeua,Patient Love - Acoustic,597318
187,spotify:track:5rfvJ9gVDr6f1AmM2g66HS,Patient Love,571800
188,spotify:track:7yTvOE8ushYsY0fFzW9zQh,Patient Love,571800
189,spotify:track:1lvqeNHnRin1basrpLx580,Wide Eyes,566175
190,spotify:track:5CiDP8UucvHJEewMVPmQOf,"Survivors - Live from Jedediah Smith Redwood State Park, CA",562808
191,spotify:track:12ZlYKs4VyFmzoYs9wFNrI,Rainbows,554992
192,spotify:track:5r67Ahg2cZ4iFtY8JVKEkQ,Tip of My Tongue - Acoustic,540399
193,spotify:track:2nHe8AmgHL0PbXXkpinpYa,Life's for the Living (Acoustic Version),537066
194,spotify:track:2pUpNOgJBIBCcjyQZQ00qU,Let Her Go,521547
195,spotify:track:2dQUWHoHEwFVJBQwPhNWRj,Setting Suns,514458
196,spotify:track:2FpFBjjSkcvUFKfjxJDBi7,Feather On the Clyde - Acoustic,511561
197,spotify:track:5XUepCFbKSBbY2EALIEnyb,Sword from the Stone - Gingerbread Mix,506820
198,spotify:track:7lfdlPaorx3aDdl4vEANX0,Keep on Walking (Acoustic Version),494070
199,spotify:track:3msTyMTfAeJMsyBTmCKcV2,Staring at the Stars (Acoustic Version),491799
200,spotify:track:02JRq3U8NdeiFzjFdX4Ax3,Sword from the Stone (Patchwork Version),477979
201,spotify:track:4R9QGSJJUXJP12mXY2KAN7,Travelling Song,475746
202,spotify:track:3D3p0mi0NRsCR7WCxXtOuT,Heart's On Fire - Acoustic,472132
203,spotify:track:7JrhgIcZbn8NEU7mLSmjNH,The Long Road,464398
204,spotify:track:2ZQFTxiIfe0qgP7QZVBEuU,"To Be Free - Live from Dauphin Rd, Vineland, NJ",463677
205,spotify:track:1rQ2P9i3NidSURoxCTq3wU,Nothing's Changed,449080
206,spotify:track:3pv6Z8avLOg8qkzmCtMfzN,Walk in the Rain,443435
207,spotify:track:45qmnt4689JPKNaZUafyB8,Remember to Forget,437332
208,spotify:track:6p9xCoAj1Zy0M1QRpQ03vJ,When We Were Young (Acoustic),434442
209,spotify:track:40j3x6MRJfCu6UZZgUQgAF,"I Hate (Live from the Borderline, London)",426186
210,spotify:track:5ehlQ3KVut2BPfi7GbNZZD,27,400640
211,spotify:track:3AtHhpBnPJZHUYZ8jD5fGl,Patient Love (Acoustic Version),398214
212,spotify:track:7rPTI3xLZKR4rTfXTm8jF4,Summer Rain,393151
213,spotify:track:3zSsUpVFWDomstwmbjcaKW,Circles (Acoustic Version),375654
214,spotify:track:4Qo3qCLNDykdEXlOnE7Evg,Circles - Acoustic,375652
215,spotify:track:6dO5oQiCCvciPZOlUNEmb6,In the End,369841
216,spotify:track:5TZjeaDSANq4w23wZlQKcZ,"Hell Or High Water - Live from Santa Monica Beach, CA",368105
217,spotify:track:7nN2ZHD79krw8tgiAf1Tm5,Patchwork,350952
218,spotify:track:0gzNvkMhODpRtqVr3ink5g,"I Hate - Live from The Borderline, London",325928
219,spotify:track:3bW2FpsL3yz78hwDDoysVn,Golden Leaves - Acoustic,320214
220,spotify:track:5QTmwktJisIReaGfsgqATF,Ghost Town,317564
221,spotify:track:2xh88vdQjROJXYh7CBkqZz,Needle in the Dark,309022
222,spotify:track:5GLY9HKYhnhKL5c5ei629i,Riding To New York - Acoustic,289066
223,spotify:track:3XwyyIA0B4LQRluzC5CEQ8,Scare Away The Dark,275266
224,spotify:track:3dZiye5SK8D2nQEKBbh8Lx,David,270502
225,spotify:track:0B2LH6q5cXwjW244JwMQdq,Keep on Walking,268252
226,spotify:track:0YapQtCZDL7fbS4ckNEZMJ,Fool's Gold,255732
227,spotify:track:50IWG1diNk0uUUxmJi44ZD,Words,252233
228,spotify:track:4GD1quzyL4tmFdIhxtpYIb,All the Little Lights,242709
229,spotify:track:4IGkaNvjUAqVfl23dSAmVU,A Song for the Drunk and Broken Hearted,239240
230,spotify:track:2hUC1QbiiTMI8iHNFFbeV2,Start a Fire (Acoustic),236562
231,spotify:track:3PFKSYkQsXQGgVqt6VhBMN,Start A Fire - Acoustic,236560
232,spotify:track:1Sb0F7I9bGa4VfPbgm0BoL,All the Little Lights,235678
233,spotify:track:5gKw4qH7dQLNuMyjE4xYAF,Whispers - Acoustic,229981
234,spotify:track:2my0HGJw82GQrF3xhnTUVS,A Song for the Drunk and Broken Hearted,226242
235,spotify:track:4ZPg5AYh0MlYFPyJxny2mI,The Wrong Direction,221176
236,spotify:track:32xwtDfj1B1us71igsM27L,Remember to Forget,218666
237,spotify:track:6nXOJaQdh06iCw6fC1Fi41,Rolling Stone (Acoustic),214742
238,spotify:track:5cKQeqXKhyclhejXHMlrI4,Everything,214169
239,spotify:track:7CY4PGGa5KHnY3mzM0r8Vz,Sword from the Stone - Acoustic,213866
240,spotify:track:3lGjWGTMxWhDaMu1Bl8pLM,"Eagle Bear Buffalo - Live from Canaan Mountain Wilderness Area, UT",207613
241,spotify:track:5dN7IZ7xtwh9OjtmA8CJN2,Rolling Stone - Acoustic,207560
242,spotify:track:5nHsTY1sLRjgL2OX0HYkct,Bullets,204706
243,spotify:track:4vitP8p4mjxsaT2cYQiRlM,Bullets,204701
244,spotify:track:1GIDQKnN7rVep1mUq4J7PJ,Staring at the Stars,204427
245,spotify:track:5V8u8ku9YAAh0nH25uVTXY,Fool's Gold (Acoustic),203261
246,spotify:track:6Xx4xhkkbJLkSbEdRvWIM3,"Runaway - Live from Joshua Tree National Park, CA",202253
247,spotify:track:3PdgCxMbEs46JJaqowruUK,Everything (Acoustic),198162
248,spotify:track:1kuGO87zkCrmBgdDm63xgI,"Heart To Love - Live from a Rooftop in Manhattan, NY",196666
249,spotify:track:1Yrgihw43OlCv6TnuZa7Ho,"Why Can't I Change - Live from Tahkenitch Landing Campground, Gardiner, OR",195733
250,spotify:track:2O31OkdE7GXtxoO5StJPBI,Coins In A Fountain - Acoustic,195201
251,spotify:track:3nk8GaGDmPEAY3ObXxRhsm,Angie (Cover),194717
252,spotify:track:2eulS8RB41N88m3dlhgcp0,Circles,192147
253,spotify:track:5vqfkiA8UjCuT7qV62fRUw,Runaway,190344
254,spotify:track:37jKrgec1h83bTItv4JnkH,The Long Road (Acoustic),188852
255,spotify:track:0IHI88WzwNf5ltJnBaCk2G,Love Will Tear Us Apart (Cover),176502
256,spotify:track:1TAsEROEKazWdPb4eejI3x,Beautiful Birds (Acoustic),173195
257,spotify:track:6vMWuUIlD30nyfptGAVpaG,Young as the Morning Old as the Sea (Acoustic),156395
258,spotify:track:6I2G4koReiMbGHFXzWWUpo,Starlings,91594
259,spotify:track:7IknThfDU9SNnl3Hfvx4FK,Sword from the Stone - Acoustic,65055
260,spotify:track:7knmLiLzU4syF0LiwxE5IN,Heart to Love,19136
261,spotify:track:1zD8NWEDdBMt3QvnqU13hI,Vincent (Cover),4771
262,spotify:track:1bdrK0QHe9PUmQ1zOM2amo,A Change Is Gonna Come (Cover),2519
